variant,peak_number,duration_ms,mean_current_ma,mean_excess_current_ma,charge_total_uc,charge_uc,energy_total_uj,energy_uj
v0,1,1.7900000000002,41.4997928659218,25.86688286592178,74.28462923000004,46.30172033,274.85312815100013,171.316365221
v0,2,1.7899999999997454,41.37563977653631,25.74272977653633,74.06239519999995,46.07948629999999,274.03086223999986,170.49409930999997
v0,3,1.7700000000002183,39.91621085875708,24.47198185875706,70.65169322000001,43.31540788999999,261.41126491400007,160.26700919299998
v0,4,1.690000000000291,41.850752159763324,26.312199159763296,70.72777114999997,44.467616580000005,261.6927532549999,164.53018134600003
v0,5,1.6599999999978172,43.19425778313254,27.938581783132538,71.70246792,46.378045760000006,265.299131304,171.59876931200003
v0,6,1.8800000000026194,40.65407875531916,24.312453755319147,76.42966805999997,45.70741305999998,282.7897718219999,169.11742832199994
v1,1,1.6699999999998545,38.51049028742517,23.725626287425158,64.31251877999998,39.621795899999995,237.95631948599993,146.60064483
v1,2,1.6699999999998545,39.87046637724551,25.32070237724549,66.58367885000007,42.28557296999999,246.35961174500028,156.45661998899996
v1,3,1.6699999999998545,39.73866943712575,25.18890543712575,66.36357796000001,42.065472080000006,245.54523845200006,155.64224669600003
v1,4,1.6400000000010186,39.730210560975614,24.851248560975602,65.15754532000003,40.75604764,241.0829176840001,150.797376268
v1,5,1.6699999999998545,39.75039864670661,25.29461964670661,66.38316574000001,42.24201481000001,245.61771323800005,156.29545479700005
v1,6,1.7000000000023283,40.23066017058821,25.539860170588224,68.39212229000002,43.41776229,253.05085247300008,160.645720473
